dB,dB_2,X_cm,Y_cm,Side,Position,Depth,Ambient,RMS,RMS_2,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
99,93,85,0,R,6,Top,TRUE,0.5570532249,0.2567883108,-54.13804019,0.001565597668,0.001185507246,0,0.001611,0.001227,0
102,92,63.34936491,12.5,R,8,Top,TRUE,0.731558504,0.2375619123,-53.98180979,0.001558794947,0.001252173913,0,0.001604,0.001296,0
88,93,25,12.5,L,15,Top,TRUE,0.1526350241,0.2778511894,-53.94269253,0.001693877551,0.001079227053,0,0.001743,0.001117,0
92,95,46.65063509,12.5,L,4,Bottom,TRUE,0.2414782503,0.3289233503,-53.61631034,0.001635568513,0.001293719807,0,0.001683,0.001339,0
94,96,50,25,L,3,Bottom,TRUE,0.3016309518,0.3898570581,-53.40259156,0.001753158406,0.001222222222,2.76E-05,0.001804,0.001265,2.86E-05
92,100,55,25,M,17,Bottom,TRUE,0.2529535357,0.6304237062,-52.36765742,0.001767735666,0.001634782609,3.11E-06,0.001819,0.001692,3.22E-06
98,93,110,25,R,3,Bottom,TRUE,0.4968650388,0.2658091155,-43.46693642,0.006371234208,0.002101449275,3.18E-05,0.006556,0.002175,3.29E-05
119,119,97.5,25,R,14,Top,FALSE,5.59386779,5.609525153,-36.96072911,0.01195238095,0.007646376812,0.0001101449275,0.012299,0.007914,0.000114
122,125,72.5,25,R,16,Top,FALSE,7.486505371,10.47829995,-34.18490182,0.01295724004,0.01461545894,0.0001082125604,0.013333,0.015127,0.000112
113,128,60,25,R,9,Top,FALSE,2.673427282,14.6539155,-33.00218791,0.01785228377,0.01349855072,0.0001410628019,0.01837,0.013971,0.000146
120,124,85,12.5,R,15,Top,FALSE,6.003575808,9.805424814,-32.43224863,0.01595238095,0.01779613527,4.40E-05,0.016415,0.018419,4.55E-05
118,126,85,37.5,R,13,Top,FALSE,4.957946356,12.67152939,-32.25944898,0.02092322643,0.01251304348,0.00009951690821,0.02153,0.012951,0.000103
121,131,85,12.5,R,15,Bottom,FALSE,6.539718682,22.10524491,-32.24540374,0.01747230321,0.0170589372,6.45E-05,0.017979,0.017656,6.68E-05
125,131,63.34936491,37.5,R,10,Top,FALSE,10.37901483,22.47952218,-31.82534329,0.01673275024,0.01941256039,0.000129468599,0.017218,0.020092,0.000134
127,127,85,37.5,R,13,Bottom,FALSE,12.90931115,12.96817473,-31.12589654,0.01920602527,0.02006859903,0.0001101449275,0.019763,0.020771,0.000114
123,131,110,25,R,3,Top,FALSE,8.97704223,22.08780843,-30.8467844,0.02580855199,0.01251884058,0.0002212560386,0.026557,0.012957,0.000229
114,126,97.5,25,R,14,Bottom,FALSE,3.073149795,11.51806878,-30.78003664,0.02596890185,0.01269661836,8.94E-05,0.026722,0.013141,9.25E-05
123,130,106.6506351,12.5,R,4,Top,FALSE,8.142225222,18.25690276,-30.13401165,0.02802040816,0.01358067633,0.0001893719807,0.028833,0.014056,0.000196
121,128,97.5,46.65063509,R,1,Top,FALSE,6.546418862,15.3404865,-29.72020708,0.02419533528,0.02193429952,0.0001323671498,0.024897,0.022702,0.000137
