dB_65_cm,RMS_65_cm,X_cm,Y_cm,Circle,Side,Position,Depth,Ambient,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
145,111.0036473,143.6839561,115.5,Outer,L,2,Middle,FALSE,-17.00821067,0.1344888241,0.04273429952,0.00121352657,0.138389,0.04423,0.001256
113,2.659507086,338.25,110.341978,Inner,R,1,Top,FALSE,-39.50261764,0.00837414966,0.00648115942,4.93E-05,0.008617,0.006708,5.10E-05
114,3.027411289,357.5,10.31604391,Outer,R,5,Bottom,FALSE,-39.75273133,0.009152575316,0.004699516908,6.07E-05,0.009418,0.004864,6.28E-05
104,0.9432439285,143.6839561,115.5,Outer,L,2,Top,TRUE,-44.50000391,0.003624878523,0.004726570048,3.31E-05,0.00373,0.004892,3.43E-05
100,0.579955448,110.341978,96.25,Inner,L,2,Top,TRUE,-33.89241085,0.01935568513,0.005783574879,2.23E-05,0.019917,0.005986,2.31E-05
149,178.976005,110.341978,96.25,Inner,L,2,Top,FALSE,-13.49827161,0.2089863946,0.03176231884,0.001407729469,0.215047,0.032874,0.001457
112,2.493641329,319,38.5,Inner,R,6,Bottom,FALSE,-39.75727986,0.009732750243,0.003319806763,2.05E-05,0.010015,0.003436,2.12E-05
110,1.927214174,319,38.5,Inner,R,6,Top,FALSE,-39.87893831,0.009300291545,0.00404057971,7.11E-05,0.00957,0.004182,7.36E-05
138,49.97362305,143.6839561,115.5,Outer,L,2,Top,FALSE,-19.45760737,0.1031341108,0.02632753623,0.0006782608696,0.106125,0.027249,0.000702
106,1.247950186,115.5,77,Inner,L,3,Bottom,TRUE,-14.35988181,0.1820029155,0.05932560386,0.0004077294686,0.187281,0.061402,0.000422
152,235.8058614,115.5,77,Inner,L,3,Bottom,FALSE,-15.07722409,0.175249757,0.01873236715,0.001437681159,0.180332,0.019388,0.001488
114,3.135048095,242,77,Outer,R,9,Top,FALSE,-39.90074571,0.009343051506,0.003875362319,2.62E-05,0.009614,0.004011,2.71E-05
91,0.2094231288,319,115.5,Inner,R,12,Top,TRUE,-39.94360151,0.005890184645,0.008161352657,7.17E-05,0.006061,0.008447,7.42E-05
109,1.668329589,154,77,Outer,L,3,Bottom,TRUE,-44.5925425,0.005,0.003119806763,9.05E-06,0.005145,0.003229,9.37E-06
149,168.4444383,154,77,Outer,L,3,Bottom,FALSE,-15.59450693,0.1631788144,0.03080193237,0.001029951691,0.167911,0.03188,0.001066
116,3.851300837,357.5,10.31604391,Outer,R,5,Top,FALSE,-40.13211675,0.00910787172,0.003747826087,6.46E-05,0.009372,0.003879,6.69E-05
118,4.970795681,242,77,Outer,R,9,Bottom,FALSE,-40.31227597,0.009099125364,0.003203864734,5.63E-05,0.009363,0.003316,5.83E-05
102,0.7499764567,154,77,Outer,L,3,Middle,TRUE,-44.71932228,0.004147716229,0.004065700483,2.29E-05,0.004268,0.004208,2.37E-05
96,0.4024974658,115.5,77,Inner,L,3,Middle,TRUE,-48.3959498,0.002412050534,0.002941062802,6.77E-06,0.002482,0.003044,7.01E-06
148,143.5018812,115.5,77,Inner,L,3,Middle,FALSE,-12.19245113,0.2446326531,0.02258454106,0.002364251208,0.251727,0.023375,0.002447
118,4.817448295,319,154,Outer,R,12,Bottom,FALSE,-40.34795147,0.008666666667,0.00414589372,3.35E-05,0.008918,0.004291,3.47E-05
114,2.877012074,280.5,10.31604391,Outer,R,7,Top,FALSE,-40.57833884,0.008539358601,0.003822222222,4.27E-05,0.008787,0.003956,4.42E-05
112,2.351758023,280.5,10.31604391,Outer,R,7,Bottom,FALSE,-40.66528558,0.008419825073,0.003859903382,6.75E-05,0.008664,0.003995,6.99E-05
115,3.244271704,242,77,Outer,R,9,Middle,FALSE,-40.79118868,0.008606413994,0.003045410628,2.04E-05,0.008856,0.003152,2.11E-05
153,258.7389159,154,77,Outer,L,3,Middle,FALSE,-13.02262224,0.2214110787,0.02888985507,0.0009198067633,0.227832,0.029901,0.000952
118,5.014977319,357.5,10.31604391,Outer,R,5,Middle,FALSE,-40.8297777,0.007321671526,0.005384541063,8.87E-05,0.007534,0.005573,9.18E-05
109,1.646378475,319,154,Outer,R,12,Middle,TRUE,-40.88628994,0.00856851312,0.002849275362,4.76E-05,0.008817,0.002949,4.93E-05
99,0.5671335152,154,77,Outer,L,3,Top,TRUE,-32.49621597,0.02280855199,0.006526570048,7.31E-05,0.02347,0.006755,7.57E-05
93,0.2735234249,115.5,77,Inner,L,3,Top,TRUE,-43.07875406,0.006522837707,0.002581642512,7.60E-05,0.006712,0.002672,7.87E-05
149,177.610288,115.5,77,Inner,L,3,Top,FALSE,-15.22678885,0.1720670554,0.02010531401,0.001585507246,0.177057,0.020809,0.001641
115,3.471563527,385.6839561,38.5,Outer,R,4,Top,FALSE,-40.9029039,0.00797473275,0.004199033816,2.17E-05,0.008206,0.004346,2.25E-05
115,3.436861638,280.5,143.6839561,Outer,R,11,Top,FALSE,-40.93537968,0.007965986395,0.004142995169,4.71E-05,0.008197,0.004288,4.88E-05
149,177.912493,154,77,Outer,L,3,Top,FALSE,-12.75751486,0.2293819242,0.01950434783,0.0004183574879,0.236034,0.020187,0.000433
100,0.6371591891,110.341978,57.75,Inner,L,4,Bottom,TRUE,-34.69662156,0.01769582119,0.005095652174,9.58E-06,0.018209,0.005274,9.92E-06
150,187.931672,110.341978,57.75,Inner,L,4,Bottom,FALSE,-15.0113146,0.17504276,0.02996908213,0.001543961353,0.180119,0.031018,0.001598
115,3.278442098,280.5,77,Inner,R,9,Middle,FALSE,-41.04613814,0.008014577259,0.003789371981,2.51E-05,0.008247,0.003922,2.60E-05
115,3.353435274,299.75,43.65802195,Inner,R,7,Bottom,FALSE,-41.24603606,0.008022351798,0.003269565217,0.00009855072464,0.008255,0.003384,0.000102
108,1.474238635,143.6839561,38.5,Outer,L,4,Bottom,TRUE,-48.66680087,0.002972789116,0.002180676329,1.79E-05,0.003059,0.002257,1.85E-05
108,1.521497205,357.5,77,Inner,R,3,Top,FALSE,-41.35019494,0.005346938776,0.006684057971,0.0001130434783,0.005502,0.006918,0.000117
115,3.44168989,319,38.5,Inner,R,6,Middle,FALSE,-41.35428268,0.007918367347,0.003241545894,4.54E-05,0.008148,0.003355,4.70E-05
140,61.02339146,143.6839561,38.5,Outer,L,4,Bottom,FALSE,-21.81995368,0.06614965986,0.04690434783,0.0009236714976,0.068068,0.048546,0.000956
126,11.3663318,385.6839561,38.5,Outer,R,4,Bottom,FALSE,-41.41183153,0.007379008746,0.004218357488,4.69E-05,0.007593,0.004366,4.85E-05
111,2.070987415,280.5,77,Inner,R,9,Top,FALSE,-41.44250717,0.007479105928,0.003974879227,3.62E-05,0.007696,0.004114,3.75E-05
99,0.5612753958,143.6839561,38.5,Outer,L,4,Middle,TRUE,-47.35940428,0.002631681244,0.003382608696,1.07E-05,0.002708,0.003501,1.11E-05
94,0.2900662116,110.341978,57.75,Inner,L,4,Middle,TRUE,-47.12024657,0.00245675413,0.003655072464,0.0001120772947,0.002528,0.003783,0.000116
149,178.9337215,110.341978,57.75,Inner,L,4,Middle,FALSE,-10.83056702,0.278585034,0.07056038647,0.002149758454,0.286664,0.07303,0.002225
115,3.379656201,338.25,110.341978,Inner,R,1,Middle,FALSE,-41.53847419,0.007235179786,0.004221256039,5.79E-05,0.007445,0.004369,5.99E-05
102,0.7460382642,357.5,143.6839561,Outer,R,1,Middle,TRUE,-41.61497028,0.007890184645,0.00258647343,1.31E-05,0.008119,0.002677,1.36E-05
142,78.62297481,143.6839561,38.5,Outer,L,4,Middle,FALSE,-19.33705208,0.08795140914,0.06255072464,0.001058937198,0.090502,0.06474,0.001096
115,3.360547894,319,0,Outer,R,6,Middle,FALSE,-41.63204799,0.006479105928,0.005166183575,7.86E-05,0.006667,0.005347,8.14E-05
116,3.59815771,280.5,77,Inner,R,9,Bottom,FALSE,-41.78845326,0.007602526725,0.002906280193,1.90E-05,0.007823,0.003008,1.97E-05
99,0.5148748641,143.6839561,38.5,Outer,L,4,Top,TRUE,-46.86974805,0.002542274052,0.003754589372,2.93E-08,0.002616,0.003886,3.03E-08
94,0.3154778537,110.341978,57.75,Inner,L,4,Top,TRUE,-50.13218465,0.002162293489,0.002241545894,1.33E-05,0.002225,0.00232,1.38E-05
150,186.4514132,110.341978,57.75,Inner,L,4,Top,FALSE,-13.64616007,0.1933100097,0.07629082126,0.001014492754,0.198916,0.078961,0.00105
112,2.321547209,319,0,Outer,R,6,Top,FALSE,-41.85607315,0.007008746356,0.004010628019,0.0001188405797,0.007212,0.004151,0.000123
112,2.267809347,319,154,Outer,R,12,Middle,FALSE,-41.95260287,0.006991253644,0.003860869565,6.45E-05,0.007194,0.003996,6.68E-05
141,64.47615532,143.6839561,38.5,Outer,L,4,Top,FALSE,-18.8025646,0.1021467444,0.05234879227,0.0006570048309,0.105109,0.054181,0.00068
103,0.8812151261,96.25,43.65802195,Inner,L,5,Bottom,TRUE,-45.61762995,0.003531584062,0.00386763285,6.12E-06,0.003634,0.004003,6.33E-06
152,229.5103221,96.25,43.65802195,Inner,L,5,Bottom,FALSE,-13.92452821,0.1787103984,0.09257777778,0.0007371980676,0.183893,0.095818,0.000763
112,2.54092941,285.658022,57.75,Inner,R,8,Middle,FALSE,-41.95374863,0.007229348882,0.003392270531,1.72E-05,0.007439,0.003511,1.78E-05
116,3.900409894,385.6839561,38.5,Outer,R,4,Middle,FALSE,-42.04371971,0.006909620991,0.003836714976,2.24E-05,0.00711,0.003971,2.32E-05
101,0.69097887,115.5,10.31604391,Outer,L,5,Bottom,TRUE,-48.35586776,0.002181729835,0.003137198068,8.53E-06,0.002245,0.003247,8.83E-06
113,2.757085898,299.75,43.65802195,Inner,R,7,Middle,FALSE,-42.28588657,0.00703595724,0.003093719807,1.55E-05,0.00724,0.003202,1.60E-05
109,1.625452222,299.75,43.65802195,Inner,R,7,Top,FALSE,-42.32268958,0.006617103984,0.003844444444,0.0001082125604,0.006809,0.003979,0.000112
140,63.31888414,115.5,10.31604391,Outer,L,5,Bottom,FALSE,-25.72764601,0.04862682216,0.01756425121,0.001176811594,0.050037,0.018179,0.001218
115,3.425053076,285.658022,57.75,Inner,R,8,Bottom,FALSE,-42.41238616,0.006844509232,0.003244444444,7.99E-05,0.007043,0.003358,8.27E-05
99,0.5492031067,338.25,110.341978,Inner,R,1,Middle,TRUE,-42.53102748,0.006975704568,0.00267826087,1.65E-05,0.007178,0.002772,1.71E-05
99,0.5256374912,115.5,10.31604391,Outer,L,5,Middle,TRUE,-50.71448424,0.002012633625,0.00210531401,0,0.002071,0.002179,0
93,0.2795693491,96.25,43.65802195,Inner,L,5,Middle,TRUE,-46.02356133,0.002258503401,0.004458937198,0,0.002324,0.004615,0
154,303.7410067,96.25,43.65802195,Inner,L,5,Middle,FALSE,-10.58933463,0.2440544218,0.1665758454,0.0006628019324,0.251132,0.172406,0.000686
113,2.673732258,299.75,110.341978,Inner,R,11,Middle,FALSE,-42.53834217,0.006269193392,0.00405410628,3.58E-05,0.006451,0.004196,3.71E-05
110,1.853504309,299.75,110.341978,Inner,R,11,Top,FALSE,-42.59232645,0.006199222546,0.004076328502,6.68E-05,0.006379,0.004219,6.91E-05
